Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_data"">pd_as_cj_d2_50</a>";vol_pd_as_cj_d2_50_data;10GB;2.78GB
"<a href=""index.php?vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_logs"">pd_as_cj_d2_50</a>";vol_pd_as_cj_d2_50_logs;5GB;427.2MB
"<a href=""index.php?vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_data"">pd_as_cn_d2_50</a>";vol_pd_as_cn_d2_50_data;10GB;9.12MB
"<a href=""index.php?vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_logs"">pd_as_cn_d2_50</a>";vol_pd_as_cn_d2_50_logs;5GB;10.91MB
"<a href=""index.php?vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_data"">pd_as_df_d2_50</a>";vol_pd_as_df_d2_50_data;700GB;1.81GB
"<a href=""index.php?vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_logs"">pd_as_df_d2_50</a>";vol_pd_as_df_d2_50_logs;5GB;12.16MB
"<a href=""index.php?vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_data"">pd_as_en_d2_50</a>";vol_pd_as_en_d2_50_data;200GB;67.11GB
"<a href=""index.php?vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_logs"">pd_as_en_d2_50</a>";vol_pd_as_en_d2_50_logs;10GB;110.9MB
"<a href=""index.php?vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_data"">pd_as_ep_d2_50</a>";vol_pd_as_ep_d2_50_data;10GB;8.12MB
"<a href=""index.php?vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_logs"">pd_as_ep_d2_50</a>";vol_pd_as_ep_d2_50_logs;5GB;1.63MB
"<a href=""index.php?vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_data"">pd_as_ge_d2_50</a>";vol_pd_as_ge_d2_50_data;10GB;3.55MB
"<a href=""index.php?vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_logs"">pd_as_ge_d2_50</a>";vol_pd_as_ge_d2_50_logs;5GB;61.59MB
"<a href=""index.php?vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_data"">pd_as_if_d2_50</a>";vol_pd_as_if_d2_50_data;100GB;17.38MB
"<a href=""index.php?vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_logs"">pd_as_if_d2_50</a>";vol_pd_as_if_d2_50_logs;20GB;6.74MB
"<a href=""index.php?vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_data"">pd_as_mn_d2_50</a>";vol_pd_as_mn_d2_50_data;10GB;649.0MB
"<a href=""index.php?vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_logs"">pd_as_mn_d2_50</a>";vol_pd_as_mn_d2_50_logs;7.80GB;4.15GB
"<a href=""index.php?vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_data"">pd_as_px_d2_50</a>";vol_pd_as_px_d2_50_data;10GB;19.03MB
"<a href=""index.php?vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_logs"">pd_as_px_d2_50</a>";vol_pd_as_px_d2_50_logs;5GB;19.36MB
"<a href=""index.php?vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_data"">pd_as_re_d2_50</a>";vol_pd_as_re_d2_50_data;18GB;6.62GB
"<a href=""index.php?vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_logs"">pd_as_re_d2_50</a>";vol_pd_as_re_d2_50_logs;18GB;3.37GB
"<a href=""index.php?vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_data"">pd_as_rh_d2_50</a>";vol_pd_as_rh_d2_50_data;10GB;5.72MB
"<a href=""index.php?vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_logs"">pd_as_rh_d2_50</a>";vol_pd_as_rh_d2_50_logs;5GB;3.29MB
