Volume;env;quartier;dc;zone;type;CapFS;SomCapVV;UseCapFS%;UseFS;SomUseVV;diff_UseFS-SomUseVV
vol_pd_as_px_d1_50_logs;pd;PX;d1;Int;logs;18.0;46.0;155.56;0.516895;0.33;0.19
vol_pd_as_re_d1_50_data;pd;RE;d1;Int;data;100.0;275.0;175.0;42.27;57.27;-15.0
vol_pd_as_re_d1_50_logs;pd;RE;d1;Int;logs;35.0;11.0;-68.57;1.3;0.89;0.41
vol_pd_as_rh_d1_50_data;pd;RH;d1;Int;data;18.0;8.0;-55.56;1.12;1.88;-0.76
vol_pd_as_rh_d1_50_logs;pd;RH;d1;Int;logs;18.0;14.0;-22.22;0.452344;0.21;0.24
vol_pd_as_ri_d1_50_data;pd;RI;d1;Int;data;4003.84;6031.12;50.63;2785.28;2808.3;-23.02
vol_pd_as_ri_d1_50_logs;pd;RI;d1;Int;logs;18.0;17.0;-5.56;0.947168;0.9;0.05
vol_pd_as_rp_d1_50_data;pd;RP;d1;Int;data;21504.0;21323.0;-0.84;7157.76;7128.14;29.62
vol_pd_as_rp_d1_50_logs;pd;RP;d1;Int;logs;54.0;81.0;50.0;2.01;1.43;0.58
vol_pd_as_st_d1_50_data;pd;ST;d1;Int;data;350.0;579.0;65.43;142.2;194.02;-51.82
vol_pd_as_st_d1_50_logs;pd;ST;d1;Int;logs;21.0;57.0;171.43;10.3;10.25;0.05
vol_pd_as_ut_d1_50_data;pd;UT;d1;Int;data;700.0;510.0;-27.14;214.2;238.29;-24.09
vol_pd_as_ut_d1_50_logs;pd;UT;d1;Int;logs;36.0;23.0;-36.11;3.75;3.6;0.15
vol_pd_aus_COM;pd;COM;d1;Int;aus;200.0;;;61.57;;
vol_pd_aus_DEP;pd;DEP;d1;Int;aus;520.0;4000.0;669.23;48.88;44.74;4.14
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;46080.0;63543.0;37.9;27555.84;32732.63;-5176.79
vol_pd_aus_ESP_U;pd;ESP_U;d1;Int;aus;6144.0;;;3747.84;;
vol_pd_aus_ESP_Z;pd;ESP_Z;d1;Int;aus;16384.0;;;9041.92;;
vol_pd_aus_GEN;pd;GEN;d1;Int;aus;6144.0;;;5529.6;;
vol_pd_aus_HAB;pd;HAB;d1;Int;aus;134144.0;209629.88;56.27;121139.2;126370.86;-5231.66
vol_pd_aus_POL;pd;POL;d1;Int;aus;3072.0;2611.0;-15.01;1648.64;1813.46;-164.82
vol_pd_aus_RFS;pd;RFS;d1;Int;aus;14336.0;;;12093.44;;
vol_pd_aus_VER;pd;VER;d1;Int;aus;1024.0;5510.0;438.09;682.6;697.41;-14.81
vol_pd_aus_gen_mad;pd;GEN_MAD;d1;Int;aus;7004.16;;;90.01;;
vol_pd_aus_rfs_mad;pd;RFS_MAD;d1;Int;aus;15001.6;;;0.598145;;
vol_pd_dpt_if_d1_50_data;pd;DPT_IF;d1;Int;data;2560.0;8192.0;220.0;1699.84;4085.76;-2385.92
vol_pd_ls_ut_d1_50_data;pd;UT;d1;Int;data;500.0;;;49.15;;
vol_pd_pdc_ut_d1_50_data;pd;PDC_UT;d1;Int;data;50.0;;;7.36;;
vol_pd_as_an_d1_00_data;pd;AN;d1;Dmz;data;100.0;151.0;51.0;52.21;30.26;21.95
vol_pd_as_an_d1_00_logs;pd;AN;d1;Dmz;logs;110.0;250.0;127.27;85.88;87.13;-1.25
vol_pd_as_ap_d1_00_data;pd;AP;d1;Dmz;data;250.0;211.0;-15.6;75.23;79.36;-4.13
vol_pd_as_ap_d1_00_logs;pd;AP;d1;Dmz;logs;35.0;22.0;-37.14;8.95;8.38;0.57
vol_pd_as_df_d1_00_data;pd;DF;d1;Dmz;data;1495.04;1346.48;-9.94;537.9;1001.07;-463.17
